id,modern,unicode,traditional_or_variants,traditional_unicode,variant_unicodes,pinyin,radical,stroke_count,source_work,source_note,brief_gloss,simple_annotation,common_words,xinhua_base_status,shape_status,meaning_status,phonology_status,review_status,review_tags,review_notes
025,火,U+706B,火,,,huo3,火,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,火焰|燃烧|怒气|兴旺流行|火器或火灾,火：现代主要用于表示火焰；燃烧；怒气；兴旺流行；火器或火灾。常见用法如：火焰、大火、火气、火热、火车。,火焰|大火|火气|火热|火车,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
026,气,U+6C14,气|氣,U+6C23,氣:U+6C23,qi4,气,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,气体|呼吸|气候|精神状态|怒气,气：现代主要用于表示气体；呼吸；气候；精神状态；怒气。常见用法如：空气、气体、天气、生气、气质。,空气|气体|天气|生气|气质,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：氣；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
027,草,U+8349,草,,,cao3,艹,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,草本植物|草地|草率|草稿|草书,草：现代主要用于表示草本植物；草地；草率；草稿；草书。常见用法如：青草、草地、草原、草稿、草书。,青草|草地|草原|草稿|草书,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
028,花,U+82B1,花,,,hua1,艹,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,花朵|有花纹的|耗费|模糊迷乱|样式或种类,花：现代主要用于表示花朵；有花纹的；耗费；模糊迷乱；样式或种类。常见用法如：花朵、开花、花纹、花钱、眼花。,花朵|开花|花纹|花钱|眼花,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
029,生,U+751F,生,,,sheng1,生,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,生长|出生|生命|产生|未熟或不熟悉,生：现代主要用于表示生长；出生；生命；产生；未熟或不熟悉。常见用法如：生命、出生、学生、生活、生长。,生命|出生|学生|生活|生长,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
030,鸟,U+9E1F,鳥,U+9CE5,鳥:U+9CE5,niao3,鸟,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,鸟类|飞禽|鸟部字义部件,鸟：现代主要用于表示鸟类；飞禽；鸟部字义部件。常见用法如：小鸟、鸟类、飞鸟、鸟鸣、候鸟。,小鸟|鸟类|飞鸟|鸟鸣|候鸟,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：鳥；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
031,兽,U+517D,獸,U+7378,獸:U+7378,shou4,丷,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,兽类|野兽|比喻野蛮残暴,兽：现代主要用于表示兽类；野兽；比喻野蛮残暴。常见用法如：野兽、禽兽、猛兽、兽医、兽性。,野兽|禽兽|猛兽|兽医|兽性,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：獸；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
032,鱼,U+9C7C,魚,U+9B5A,魚:U+9B5A,yu2,鱼,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,鱼类|鱼肉|形状像鱼的东西,鱼：现代主要用于表示鱼类；鱼肉；形状像鱼的东西。常见用法如：鱼类、鱼肉、金鱼、钓鱼、鱼塘。,鱼类|鱼肉|金鱼|钓鱼|鱼塘,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：魚；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
033,虫,U+866B,虫|蟲,U+87F2,蟲:U+87F2,chong2|hui3,虫,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,昆虫|小动物|虫部构字部件,虫：现代主要用于表示昆虫；小动物；虫部构字部件。常见用法如：昆虫、虫子、害虫、毛虫、虫牙。,昆虫|虫子|害虫|毛虫|虫牙,draft,draft,draft,draft,needs_review,polyphonic|variant_or_traditional|historical_draft_review,多音字：chong2、hui3；需按义项和常用词复核读音排序。|含繁体/异体：蟲；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
034,牛,U+725B,牛,,,niu2,牛,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,牛类|牛肉或牛皮相关|比喻厉害或固执,牛：现代主要用于表示牛类；牛肉或牛皮相关；比喻厉害或固执。常见用法如：黄牛、牛肉、牛奶、水牛、很牛。,黄牛|牛肉|牛奶|水牛|很牛,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
035,羊,U+7F8A,羊,,,yang2,羊,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,羊类|羊肉或羊毛相关|姓氏或部件,羊：现代主要用于表示羊类；羊肉或羊毛相关；姓氏或部件。常见用法如：山羊、绵羊、羊肉、羊毛、牧羊。,山羊|绵羊|羊肉|羊毛|牧羊,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
036,马,U+9A6C,馬,U+99AC,馬:U+99AC,ma3,马,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,马类|马匹|象棋棋子|姓氏或马部部件,马：现代主要用于表示马类；马匹；象棋棋子；姓氏或马部部件。常见用法如：马匹、马上、骑马、马车、马力。,马匹|马上|骑马|马车|马力,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：馬；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
037,犬,U+72AC,犬,,,quan3,犬,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,狗|犬科动物|犬旁部件,犬：现代主要用于表示狗；犬科动物；犬旁部件。常见用法如：犬类、警犬、猎犬、犬牙、犬子。,犬类|警犬|猎犬|犬牙|犬子,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
038,女,U+5973,女,,,nv3,女,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,女性|女儿|女方或女性身份|女部字义部件,女：现代主要用于表示女性；女儿；女方或女性身份；女部字义部件。常见用法如：女人、女子、女儿、女性、女工。,女人|女子|女儿|女性|女工,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
039,男,U+7537,男,,,nan2,田,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,男性|男子|儿子|男性身份,男：现代主要用于表示男性；男子；儿子；男性身份。常见用法如：男人、男子、男孩、男性、男女。,男人|男子|男孩|男性|男女,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
040,子,U+5B50,子,,,zi3|zi,子,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,孩子或儿子|人或事物的称名后缀|种子或小而硬的东西|地支第一位,子：现代主要用于表示孩子或儿子；人或事物的称名后缀；种子或小而硬的东西；地支第一位。常见用法如：孩子、儿子、子女、孔子、种子。,孩子|儿子|子女|孔子|种子,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：zi3、zi；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
041,老,U+8001,老,,,lao3,老,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,年纪大|时间久|经验丰富或熟练|经常|排行或尊称前缀,老：现代主要用于表示年纪大；时间久；经验丰富或熟练；经常；排行或尊称前缀。常见用法如：老人、老师、老家、老练、老是。,老人|老师|老家|老练|老是,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
042,幼,U+5E7C,幼,,,you4,幺,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,年纪小|幼小|初级或未成熟,幼：现代主要用于表示年纪小；幼小；初级或未成熟。常见用法如：幼儿、幼小、幼年、幼稚、幼苗。,幼儿|幼小|幼年|幼稚|幼苗,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
043,首,U+9996,首,,,shou3,首,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,头|最先或第一|首领|开端|诗歌等量词,首：现代主要用于表示头；最先或第一；首领；开端；诗歌等量词。常见用法如：首都、首先、首领、首饰、一首诗。,首都|首先|首领|首饰|一首诗,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
044,目,U+76EE,目,,,mu4,目,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,眼睛|看|条目或目录|目标|名称类别,目：现代主要用于表示眼睛；看；条目或目录；目标；名称类别。常见用法如：目光、目的、目录、项目、耳目。,目光|目的|目录|项目|耳目,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
045,耳,U+8033,耳,,,er3,耳,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,耳朵|听闻|器物两侧的把手状部分|文言语气词,耳：现代主要用于表示耳朵；听闻；器物两侧的把手状部分；文言语气词。常见用法如：耳朵、耳目、耳机、木耳、悦耳。,耳朵|耳目|耳机|木耳|悦耳,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
046,口,U+53E3,口,,,kou3,口,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,嘴|出入口|人口|口头表达|器物开口,口：现代主要用于表示嘴；出入口；人口；口头表达；器物开口。常见用法如：口语、入口、人口、口才、开口。,口语|入口|人口|口才|开口,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
047,鼻,U+9F3B,鼻,,,bi2,鼻,14,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,鼻子|像鼻子的部分|嗅觉相关|鼻祖等起始义,鼻：现代主要用于表示鼻子；像鼻子的部分；嗅觉相关；鼻祖等起始义。常见用法如：鼻子、鼻孔、鼻音、鼻祖、鼻梁。,鼻子|鼻孔|鼻音|鼻祖|鼻梁,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
048,手,U+624B,手,,,shou3,手,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,手|亲自|技能或本领|从事某种工作的人|手段,手：现代主要用于表示手；亲自；技能或本领；从事某种工作的人；手段。常见用法如：手掌、双手、手机、高手、动手。,手掌|双手|手机|高手|动手,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
049,才,U+624D,才|纔,,纔:U+7E94,cai2,扌,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,才能|有才能的人|刚刚|只有或仅仅|表示条件才成立,才：现代主要用于表示才能；有才能的人；刚刚；只有或仅仅；表示条件才成立。常见用法如：才能、人才、刚才、才华、才干。,才能|人才|刚才|才华|才干,draft,draft,draft,draft,needs_review,variant_or_traditional|historical_draft_review,含繁体/异体：纔；需复核简繁对应、异体来源和义项是否完全合并。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
050,足,U+8DB3,足,,,zu2,足,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,脚|足够|值得|满足|足部构字部件,足：现代主要用于表示脚；足够；值得；满足；足部构字部件。常见用法如：手足、足球、足够、满足、不足。,手足|足球|足够|满足|不足,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
051,心,U+5FC3,心,,,xin1,心,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,心脏|思想感情|中心|心意|要点,心：现代主要用于表示心脏；思想感情；中心；心意；要点。常见用法如：心脏、心情、中心、用心、心理。,心脏|心情|中心|用心|心理,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
052,身,U+8EAB,身,,,shen1,身,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,身体|自己|亲自|身份|人的一生或生命,身：现代主要用于表示身体；自己；亲自；身份；人的一生或生命。常见用法如：身体、身上、身份、自身、亲身。,身体|身上|身份|自身|亲身,draft,draft,draft,draft,needs_review,historical_draft_review,已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
053,骨,U+9AA8,骨,,,gu3|gu1,骨,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,骨头|骨架|人的气概或品质|核心结构,骨：现代主要用于表示骨头；骨架；人的气概或品质；核心结构。常见用法如：骨头、骨骼、骨气、骨干、筋骨。,骨头|骨骼|骨气|骨干|筋骨,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：gu3、gu1；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
054,血,U+8840,血,,,xue4|xie3,血,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,血液|血统或血缘|牺牲伤亡|刚强热烈的气质,血：现代主要用于表示血液；血统或血缘；牺牲伤亡；刚强热烈的气质。常见用法如：血液、流血、血缘、热血、血统。,血液|流血|血缘|热血|血统,draft,draft,draft,draft,needs_review,polyphonic|historical_draft_review,多音字：xue4、xie3；需按义项和常用词复核读音排序。|已有历史层草稿或音韵草稿；需后续依据字形材料、古籍训诂和韵书资料复核。
